cód.;Escola;endereco;num;bairro;municipio;DDD;Telefone;CEP;E-mail;Dependência;endereco_completo;lat;lng
12203;CEDUP ABILIO PAULO;AVENIDA UNIVERSITARIA;345;UNIVERSITARIO;CRICIÚMA;48.0;34031609;88806000;cedupcriciuma@sed.sc.gov.br;Estaduais;AVENIDA UNIVERSITARIA, 345 - UNIVERSITARIO, CRICIÚMA - SC, 88806000;-28.70101;-49.41133
32131;CEDUP CAETANO COSTA;BR 282 KM 246;0;ITARARE;SÃO JOSÉ DO CERRITO;49.0;88081661;88570000;seriedh27cedupccosta@sed.sc.gov.br;Estaduais;BR 282 KM 246, 0 - ITARARE, SÃO JOSÉ DO CERRITO - SC, 88570000;-27.62472;-50.65612
103225;CEDUP CAMPO ERE;FAZENDA PRIMAVERA SC 160 KM 07;0;INTERIOR;CAMPO ERÊ;49.0;36551268;89980000;cedupcampoere@sed.sc.gov.br;Estaduais;FAZENDA PRIMAVERA SC 160 KM 07, 0 - INTERIOR, CAMPO ERÊ - SC, 89980000;-26.47316;-53.07205
20508;CEDUP DARIO GERALDO SALLES;R MONSENHOR GERCINO;2071;ITAUM;JOINVILLE;47.0;34812135;89210155;diretor20508@sed.sc.gov.br;Estaduais;R MONSENHOR GERCINO, 2071 - ITAUM, JOINVILLE - SC, 89210155;-26.33478;-48.82915
700320;CEDUP DE CHAPECÓ;R ASSIS BRASIL;119;MARIA GORETTI;CHAPECÓ;49.0;33220447;89801222;cedupchapeco@sed.sc.gov.br;Estaduais;R ASSIS BRASIL, 119 - MARIA GORETTI, CHAPECÓ - SC, 89801222;-27.1038;-52.60496
139661;CEDUP DE TIMBO;RUA SÃO BENTO;277;QUINTINO;TIMBÓ;47.0;33993026;89120000;ceduptimbo@sed.sc.gov.br;Estaduais;RUA SÃO BENTO, 277 - QUINTINO, TIMBÓ - SC, 89120000;-26.83619;-49.26224
6718;CEDUP DIOMICIO FREITAS;RUA JULIO BOPPRE;1280;SANTO ANTONIO DE PADUA;TUBARÃO;48.0;36319706;88701510;seriedh20cedupdfreitas@sed.sc.gov.br;Estaduais;RUA JULIO BOPPRE, 1280 - SANTO ANTONIO DE PADUA, TUBARÃO - SC, 88701510;-28.49351;-49.00651
700029;CEDUP DR JORGE LACERDA;RUA GENERAL BITTENCOURT;234;CENTRO;FLORIANÓPOLIS;48.0;36657591;88020100;cedupfloripa@sed.sc.gov.br;Estaduais;RUA GENERAL BITTENCOURT, 234 - CENTRO, FLORIANÓPOLIS - SC, 88020100;-27.59764;-48.5465
155195;CEDUP ERNESTO ANTONIO DEBASTIANI;RODOVIA DEJANDIR DALPASQUALE SCV 284 KM 240;0;LINHA ZANCHETTI;ABDON BATISTA;49.0;35413341;89636000;cedup_ernesto@sed.sc.gov.br;Estaduais;RODOVIA DEJANDIR DALPASQUALE SCV 284 KM 240, 0 - LINHA ZANCHETTI, ABDON BATISTA - SC, 89636000;-27.60995;-51.0258
104612;CEDUP GETULIO VARGAS;LINHA CRUZINHAS;0;INTERIOR;SÃO MIGUEL DO OESTE;49.0;31978031;89900000;cedupsmo@sed.sc.gov.br;Estaduais;LINHA CRUZINHAS, 0 - INTERIOR, SÃO MIGUEL DO OESTE - SC, 89900000;-26.72543;-53.52175
15989;CEDUP HERMANN HERING;RUA BENJAMIN CONSTANT;857;ESCOLA AGRICOLA;BLUMENAU;47.0;33788610;89037501;ceduphh@sed.sc.gov.br;Estaduais;RUA BENJAMIN CONSTANT, 857 - ESCOLA AGRICOLA, BLUMENAU - SC, 89037501;-26.89394;-49.09848
139688;CEDUP INDUSTRIAL DE LAGES;AVENIDA DOM PEDRO II;2555;VILA NOVA;LAGES;49.0;32898308;88503100;seriedh27ceduplages@sed.sc.gov.br;Estaduais;AVENIDA DOM PEDRO II, 2555 - VILA NOVA, LAGES - SC, 88503100;-27.82536;-50.32528
155918;CEDUP JOSÉ BUSS;ESTRADA GERAL RIO OTÍLIA;165;RIO OTÍLIA;RIO FORTUNA;48.0;36511829;88760000;diretor155918@sed.sc.gov.br;Estaduais;ESTRADA GERAL RIO OTÍLIA, 165 - RIO OTÍLIA, RIO FORTUNA - SC, 88760000;-28.13937;-49.1113
155926;CEDUP PADRE AFONSO ROBL;AVENIDA PREFEITO ORNITH BOLLMANN;561;BRASÍLIA;SÃO BENTO DO SUL;47.0;36470565;89282425;cedupsbs@sed.sc.gov.br;Estaduais;AVENIDA PREFEITO ORNITH BOLLMANN, 561 - BRASÍLIA, SÃO BENTO DO SUL - SC, 89282425;-26.22689;-49.34645
155179;CEDUP PERFEITO MANOEL DE AGUIAR;ROD BR 280 K 53 C;0;AVAÍ;GUARAMIRIM;47.0;32769270;89270000;cedupguaramirim@sed.sc.gov.br;Estaduais;ROD BR 280 K 53 C, 0 - AVAÍ, GUARAMIRIM - SC, 89270000;-26.47183;-48.97274
42447;CEDUP PROF JALDYR BHERING FAUSTINO DA SILVA;LINHA MACAGNAN;0;INTERIOR;ÁGUA DOCE;49.0;35240133;89654000;cedupaguadoce@sed.sc.gov.br;Estaduais;LINHA MACAGNAN, 0 - INTERIOR, ÁGUA DOCE - SC, 89654000;-26.99995;-51.55855
155934;CEDUP PROFESSOR ENORI POZZO;AVENIDA ADVOGADO SEBASTIÃO CALOMENO;450;SÃO FRANCISCO;CURITIBANOS;49.0;34123027;89520000;ceduppozzo@sed.sc.gov.br;Estaduais;AVENIDA ADVOGADO SEBASTIÃO CALOMENO, 450 - SÃO FRANCISCO, CURITIBANOS - SC, 89520000;-27.28994;-50.58943
